,val_loss,val_acc,loss,acc
0,0.67358018,0.602420307,0.677703209,0.594350764
1,0.67580651,0.571133412,0.651521516,0.621809593
2,0.666327,0.600649351,0.644932863,0.629551867
3,0.669981201,0.600059032,0.641881883,0.626861754
4,0.667608913,0.611570248,0.637197169,0.644183453
5,0.668542848,0.593270366,0.631477488,0.640870022
6,0.656151865,0.617473436,0.628821847,0.643560134
7,0.660814002,0.600354192,0.633302447,0.646348665
8,0.664441536,0.62514758,0.630857424,0.640771603
9,0.652973607,0.611275088,0.624348407,0.649662096
10,0.654328376,0.630755608,0.615334444,0.655764057
11,0.644818499,0.62987013,0.613919754,0.659536776
12,0.646783795,0.602715466,0.617634409,0.662456532
13,0.649447933,0.591794569,0.606469365,0.673807493
14,0.648844551,0.597402598,0.603065581,0.671839118
15,0.666370901,0.570543094,0.59907579,0.674332393
16,0.649847096,0.580873672,0.596325007,0.677284955
17,0.64639318,0.603010626,0.587108247,0.690604291
18,0.648653434,0.59622196,0.588972963,0.685781773
19,0.658242266,0.628689492,0.581568999,0.694409816
20,0.660020815,0.573494687,0.580618521,0.695656453
21,0.648227314,0.5864817,0.58230965,0.694344203
22,0.659467211,0.571133412,0.578708191,0.695623647
23,0.668610805,0.56729634,0.572994511,0.700905452
24,0.657743462,0.588252656,0.567554066,0.709566301
25,0.657207068,0.621900826,0.569525656,0.705465521
26,0.664535158,0.569067296,0.57450599,0.696410997
27,0.655344951,0.573789846,0.565445318,0.711272226
28,0.657475848,0.57201889,0.559532212,0.708811758
29,0.663038695,0.575265644,0.555710675,0.715701069
30,0.656275585,0.614817001,0.552051417,0.717013319
31,0.663617725,0.572314049,0.549797992,0.721442163
32,0.66122551,0.575560803,0.546976067,0.718522407
33,0.660742474,0.571723731,0.542695903,0.726527131
34,0.667709972,0.567591499,0.543066102,0.725674168
35,0.678262514,0.567591499,0.544199024,0.722754412
36,0.676590889,0.566706021,0.540254391,0.731349649
37,0.654155968,0.600354191,0.538899257,0.727544124
38,0.647425937,0.595631641,0.531161917,0.73440063
39,0.659084351,0.573494687,0.543213945,0.722196706
40,0.710213329,0.566706021,0.532510231,0.732694705
41,0.657464062,0.579397875,0.534420935,0.731940161
42,0.669884322,0.57201889,0.524497122,0.735942523
43,0.705457798,0.56729634,0.51794069,0.740240142
44,0.669339998,0.571428572,0.522271819,0.740108917
45,0.666531058,0.573789847,0.51798264,0.744504954
46,0.658787819,0.5864817,0.51846159,0.746604554
47,0.658782455,0.578807556,0.514141013,0.750606916
48,0.662282441,0.575855963,0.513913536,0.746735779
49,0.646993752,0.618358914,0.507602913,0.751853553
50,0.647565766,0.596812278,0.508825344,0.750410078
51,0.648516768,0.604486422,0.506368825,0.755757496
52,0.662103169,0.58205431,0.503566658,0.754346828
53,0.651070127,0.596812279,0.501049821,0.754445246
54,0.64479566,0.608323495,0.497320255,0.760022308
55,0.64613344,0.617178276,0.499445646,0.761465783
56,0.649552952,0.641381346,0.490483791,0.767403714
57,0.652324059,0.615997638,0.499280508,0.760580014
58,0.639790373,0.616883117,0.49013211,0.770225051
59,0.654803207,0.614226682,0.48876362,0.766846007
60,0.645751169,0.62012987,0.491595954,0.76717407
61,0.627950106,0.638724912,0.481812684,0.769864182
62,0.634941578,0.639905549,0.49332817,0.759300571
63,0.636367106,0.652302244,0.48412445,0.771438882
64,0.619370144,0.649940968,0.472181565,0.777639263
65,0.635965105,0.629574971,0.491612876,0.763860639
66,0.668142804,0.574380166,0.473076135,0.777344006
67,0.641618678,0.629279811,0.475596739,0.774063382
68,0.633172524,0.644628099,0.47199835,0.775670888
69,0.633446905,0.656729634,0.471883279,0.777278394
70,0.654676559,0.600649351,0.472714936,0.772226232
71,0.628381022,0.63931523,0.466208955,0.782133718
72,0.632735786,0.67768595,0.457625833,0.786759399
73,0.630641207,0.669421488,0.465560674,0.783183518
74,0.654680525,0.597992917,0.475389144,0.779443606
75,0.643170043,0.62987013,0.461452314,0.785775212
76,0.626758908,0.663813459,0.456840726,0.787153074
77,0.628359355,0.683589138,0.450829869,0.787481136
78,0.617388949,0.663223141,0.450009312,0.790696149
79,0.647276034,0.61511216,0.447843775,0.794403254
80,0.646505979,0.637544274,0.446578934,0.794436061
81,0.644704559,0.614521842,0.451753904,0.793714323
82,0.664965543,0.57201889,0.451598636,0.79217243
83,0.632562306,0.660566706,0.448250288,0.795157798
84,0.615203248,0.657910271,0.450810528,0.792631717
85,0.639322218,0.623081464,0.446723921,0.79653566
86,0.626498269,0.653187722,0.441158191,0.801981497
87,0.6328428,0.637249114,0.440809393,0.79653566
88,0.618211164,0.68270366,0.438455485,0.797979135
89,0.611201721,0.649940968,0.447041946,0.79269733
90,0.626499543,0.659681228,0.440859986,0.798963323
91,0.629457686,0.636068477,0.462093643,0.783281937
92,0.620606909,0.671192444,0.441036856,0.795354636
93,0.618296853,0.6635183,0.434499893,0.797716685
94,0.618328486,0.64935065,0.438212212,0.80020996
95,0.648415551,0.625737899,0.434325829,0.801030116
96,0.638716048,0.615112161,0.448687736,0.795026573
97,0.669192552,0.554604487,0.435518367,0.807132078
98,0.599461281,0.675619835,0.432398296,0.804441966
99,0.620381388,0.668831169,0.424985728,0.805721409
